Pressure,H2O_liq,CO2_liq,XH2O_fl
,2.444774519083294,0.0,1.0
,2.5670132450374585,0.0,1.0
,2.689251970991623,0.0,1.0
,2.8114906969457882,0.0,1.0
,2.933729422899953,0.0,1.0
,3.0559681488541175,0.0,1.0
,3.178206874808282,0.0,1.0
,3.3004456007624468,0.0,1.0
,3.4226843267166114,0.0,1.0
,3.5449230526707765,0.0,1.0
,3.667161778624941,0.0,1.0
,3.7894005045791057,0.0,1.0
,3.9116392305332703,0.0,1.0
,4.033877956487435,0.0,1.0
,4.1561166824416,0.0,1.0
,4.278355408395765,0.0,1.0
,4.400594134349929,0.0,1.0
,4.522832860304094,0.0,1.0
,4.6450715862582586,0.0,1.0
,4.767310312212423,0.0,1.0
,4.889549038166588,0.0,1.0
,5.011787764120752,0.0,1.0
,5.134026490074917,0.0,1.0
